ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,original_recommendation,original_confidence,sentiment_signal,sentiment_score,sentiment_confidence,news_count,sentiment_breakdown,sector,enhancement_status,sector_avg_change,relative_to_sector
LUPIN,Lupin,1914.199951171875,1977.2234966806745,1948.430419921875,1962.8269583012748,BUY,85.0,38.80357871269891,64.95949286096221,3.292422271258364,1.7882389313114377,2.540330601284901,"Combined models predict a moderate 2.54% price increase (ARIMA: 3.29%, LSTM: 1.79% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.5067344314983298
SUNPHARMA,Sunpharma,1669.4000244140625,1677.9447210887438,1680.336181640625,1679.1404513646844,HOLD,80.0,24.22773176239031,50.866827929628165,0.5118423714939364,0.6550950680859698,0.5834687197899531,"Combined models predict relatively stable price (change: 0.58%) (ARIMA: 0.51%, LSTM: 0.66% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,0.549872550003382
MAXHEALTH,Maxhealth,1247.4000244140625,1298.8701697711415,1263.8126220703125,1281.3413959207269,BUY,85.0,25.69929688502244,53.48829603242859,4.126194031562242,1.3157445354355706,2.720969283498897,"Combined models predict a moderate 2.72% price increase (ARIMA: 4.13%, LSTM: 1.32% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.687373113712326
LAURUSLABS,Lauraslabs,794.4000244140625,775.3154935963917,777.41748046875,776.3664870325708,SELL,85.0,14.187615707618939,32.72727347073771,-2.4023829596112236,-2.1377824047574228,-2.270082682184323,"Combined models predict a moderate 2.27% price decrease (ARIMA: -2.40%, LSTM: -2.14% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-2.3036788519708944
ZYDUSLIFE,Zyduslife,978.4500122070312,999.8662676386857,989.7919311523438,994.8290993955147,BUY,85.0,14.060228620636495,26.217539629295814,2.1887940277446667,1.159172037795698,1.6739830327701826,"Combined models predict a moderate 1.67% price increase (ARIMA: 2.19%, LSTM: 1.16% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.6403868629836114
TORNTPHARM,Torntpharm,3353.699951171875,3344.8314407787784,3319.318603515625,3332.0750221472017,HOLD,80.0,45.7725756125312,86.26241737165985,-0.2644395897730113,-1.0251766155835202,-0.6448081026782657,"Combined models predict relatively stable price (change: -0.64%) (ARIMA: -0.26%, LSTM: -1.03% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.6784042724648368
GRANULES,Granules,479.54998779296875,493.25680036756034,495.0788879394531,494.16784415350673,STRONG BUY,90.0,11.210295982792022,25.05036703006542,2.858265649776035,3.2382234473517513,3.0482445485638934,"Combined models predict a significant 3.05% price increase (ARIMA: 2.86%, LSTM: 3.24% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,3.014648378777322
BIOCON,Biocon,373.54998779296875,370.87000268555136,358.0684509277344,364.46922680664284,SELL,85.0,6.963594124052662,15.310716912012794,-0.7174368076549672,-4.144435114749529,-2.430935961202256,"Combined models predict a moderate 2.43% price decrease (ARIMA: -0.72%, LSTM: -4.14% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-2.464532130988827
METROPOLIS,Metropolis,2057.89990234375,1854.5495503909297,1745.912109375,1800.2308298829648,STRONG SELL,95.0,35.05318727379619,67.48016345041772,-9.88145009974605,-15.16049408493707,-12.520972092341562,"Combined models predict a significant 12.52% price decrease (ARIMA: -9.88%, LSTM: -15.16% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-12.554568262128134
COLPAL,Colpal,2438.60009765625,2469.381807687495,2491.67919921875,2480.5305034531225,BUY,85.0,38.19117942159992,105.19828739944016,1.2622696956679953,2.176621809107388,1.7194457523876918,"Combined models predict a moderate 1.72% price increase (ARIMA: 1.26%, LSTM: 2.18% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.6858495826011206
