ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,technical_signal,enhanced_recommendation,enhanced_confidence,agreement_status,original_recommendation,original_confidence,sector,sector_avg_change,relative_to_sector
MGL.NS,Mgl,1509.5,1486.2327257250186,1449.859130859375,1468.0459282921968,SELL,85.0,31.438524813437894,48.69926641546174,-1.5413894849275551,-3.9510347227972837,-2.74621210386242,"Combined models predict a moderate 2.75% price decrease (ARIMA: -1.54%, LSTM: -3.95% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-1.3389187660681006
LTTS.NS,Ltts,4323.7998046875,4403.353791181814,4385.3359375,4394.3448643409065,BUY,85.0,102.99387102954296,196.61245420935953,1.8399091097619311,1.4231956980475298,1.63155240390472,"Combined models predict a moderate 1.63% price increase (ARIMA: 1.84%, LSTM: 1.42% - both models agree on direction)",True,NEUTRAL,0.0,40.0,2,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_IT,0.03702920499005581,1.5945231989146642
TCS.NS,Tcs,3423.300048828125,3462.1857292389454,3442.485595703125,3452.335662471035,HOLD,80.0,45.606865581140774,110.35090660900498,1.1359121273676231,0.5604401192226097,0.8481761232951098,"Combined models predict relatively stable price (change: 0.85%) (ARIMA: 1.14%, LSTM: 0.56% - both models agree on direction)",True,BUY,0.28699838372548425,73.50855600401704,6,BUY,STRONG BUY,95.0,BULLISH_AGREEMENT,HOLD,80.0,NIFTY_IT,0.03702920499005581,0.811146918305054
MPHASIS.NS,Mphasis,2888.5,2851.995530691429,2736.14306640625,2794.0692985488395,STRONG SELL,90.0,54.52275497151437,137.4021189624882,-1.2637863703850116,-5.274603898000692,-3.269195134192852,"Combined models predict a significant 3.27% price decrease (ARIMA: -1.26%, LSTM: -5.27% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_IT,0.03702920499005581,-3.306224339182908
LTIM.NS,Ltim,5304.5,5306.832744891551,5356.03076171875,5331.431753305151,HOLD,80.0,93.39243196954183,236.64125096975545,0.04397671583656606,0.9714537038128005,0.5077152098246918,"Combined models predict relatively stable price (change: 0.51%) (ARIMA: 0.04%, LSTM: 0.97% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_IT,0.03702920499005581,0.47068600483463596
WIPRO.NS,Wipro,267.0,265.87196103748744,263.02069091796875,264.44632597772807,HOLD,80.0,4.667078736048111,9.218090848949887,-0.42248650281369365,-1.4903779333450373,-0.9564322180793762,"Combined models predict relatively stable price (change: -0.96%) (ARIMA: -0.42%, LSTM: -1.49% - both models agree on direction)",True,NEUTRAL,-0.04522218653361003,53.448639911663136,3,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_IT,0.03702920499005581,-0.993461423069432
TECHM.NS,Techm,1677.0999755859375,1688.3391739951585,1683.8414306640625,1686.0903023296105,HOLD,80.0,26.602160010141528,65.1400264754688,0.6701567332200509,0.4019709722892162,0.5360638527546335,"Combined models predict relatively stable price (change: 0.54%) (ARIMA: 0.67%, LSTM: 0.40% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_IT,0.03702920499005581,0.49903464776457773
BSOFT.NS,Bsoft,442.1000061035156,431.4017184465393,439.92718505859375,435.6644517525665,SELL,85.0,9.464771697463176,23.737338086599827,-2.419879554236283,-0.491477270962335,-1.4556784125993154,"Combined models predict a moderate 1.46% price decrease (ARIMA: -2.42%, LSTM: -0.49% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,UNKNOWN,0.1914383850222101,-1.6471167976215255
HUDCO.NS,Hudco,233.97000122070312,237.83371236381532,238.70962524414062,238.27166880397797,BUY,85.0,5.380029330644687,11.619343536338725,1.651370313695717,2.0257400515917543,1.8385551826437356,"Combined models predict a moderate 1.84% price increase (ARIMA: 1.65%, LSTM: 2.03% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,UNKNOWN,0.1914383850222101,1.6471167976215255
SUNTV.NS,Suntv,590.0,597.9155753528697,594.4203491210938,596.1679622369818,BUY,85.0,11.308326083946467,23.0686219776655,1.3416229411643599,0.7492117154396186,1.0454173283019987,"Combined models predict a moderate 1.05% price increase (ARIMA: 1.34%, LSTM: 0.75% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_MEDIA,1.041343332979637,0.004073995322361634
NAZARA.NS,Nazara,1336.5999755859375,1301.3004829143915,1295.193115234375,1298.2467990743833,SELL,85.0,18.389777438143245,54.37400127393794,-2.64099156937897,-3.097924667656125,-2.869458118517547,"Combined models predict a moderate 2.87% price decrease (ARIMA: -2.64%, LSTM: -3.10% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_MEDIA,1.041343332979637,-3.9108014514971843
NETWORK18.NS,Network18,57.02000045776367,59.50544688945326,60.92802810668945,60.21673749807135,STRONG BUY,95.0,1.554118705729008,3.6538518425233586,4.358902861690836,6.853783966242806,5.6063434139668145,"Combined models predict a significant 5.61% price increase (ARIMA: 4.36%, LSTM: 6.85% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_MEDIA,1.041343332979637,4.565000080987177
SAREGAMA.NS,Saregama,492.5,497.64268494612185,507.8592834472656,502.7509841966937,BUY,85.0,10.624158781893659,21.69545474224638,1.0441999890602733,3.118636232947335,2.0814181110037984,"Combined models predict a moderate 2.08% price increase (ARIMA: 1.04%, LSTM: 3.12% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_MEDIA,1.041343332979637,1.0400747780241613
