ticker,sector,signal_type,current_price,target_price,stop_loss,buy_strength,sell_strength,volume,position_size,risk_per_share,ema_50,ema_trend,rsi,inside_bar_data,timestamp
INFY,I.T,WEAK_BUY,1495.4000244140625,1496.9000244140625,1494.0,0.04685490006902611,0.0,4876,714,1.4000244140625,1491.0651368566428,BULLISH,48.780548319067115,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1496.9000244140625, 'mother_bar_low': 1494.0, 'inside_bar_high': 1495.4000244140625, 'inside_bar_low': 1494.199951171875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
HINDZINC,Metals,HOLD,426.5,426.5,426.5,0.0,0.0,2467,0,0.0,428.9587320181252,BEARISH,27.9998779296875,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
JSWSTEEL,Metals,HOLD,1052.199951171875,1052.199951171875,1052.199951171875,0.0,0.0,2149,0,0.0,1067.984541994102,BEARISH,26.237611795987434,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1055.5999755859375, 'mother_bar_low': 1052.199951171875, 'inside_bar_high': 1054.0999755859375, 'inside_bar_low': 1052.300048828125, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
TRENT,FMCG,HOLD,5442.0,5442.0,5442.0,0.0,0.0,485,0,0.0,5468.292143335555,BEARISH,48.943661971830984,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
KOTAKBANK,Bank,WEAK_SELL,1991.5,1990.4000244140625,1994.5999755859375,0.0,0.07770920545175594,1093,322,3.0999755859375,2008.9550365529801,BEARISH,6.849326521909987,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 1994.5999755859375, 'mother_bar_low': 1990.4000244140625, 'inside_bar_high': 1991.800048828125, 'inside_bar_low': 1991.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
LICHSGFIN,Finance,HOLD,565.4000244140625,565.4000244140625,565.4000244140625,0.0,0.0,1579,0,0.0,572.7405685698797,BEARISH,37.341811270608964,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 566.5, 'mother_bar_low': 565.0, 'inside_bar_high': 566.3499755859375, 'inside_bar_low': 565.2999877929688, 'breakout_signal': 'PENDING', 'bars_since_inside': 3}",08:31:35
LUPIN,Pharmaceuticals,WEAK_BUY,1971.0999755859375,1973.800048828125,1969.0,0.053325941745492635,0.0,427,476,2.0999755859375,1963.5334951599968,BULLISH,56.02594077042975,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1973.800048828125, 'mother_bar_low': 1969.0, 'inside_bar_high': 1971.0999755859375, 'inside_bar_low': 1970.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
MFSL,Finance,STRONG_SELL,1646.800048828125,1637.60009765625,1651.4000244140625,0.0,0.06068697477653163,45,217,4.5999755859375,1649.7139855599924,BEARISH,55.18883405980272,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 1651.4000244140625, 'mother_bar_low': 1647.800048828125, 'inside_bar_high': 1651.300048828125, 'inside_bar_low': 1648.0, 'breakout_signal': 'BEARISH_BREAKOUT', 'bars_since_inside': 3}",08:31:35
VEDL,Industrials,HOLD,444.95001220703125,444.95001220703125,444.95001220703125,0.0,0.0,11742,0,0.0,445.5298727659084,BEARISH,43.47829932905497,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 445.29998779296875, 'mother_bar_low': 444.6000061035156, 'inside_bar_high': 445.0, 'inside_bar_low': 444.75, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
GRASIM,Miscellaneous,WEAK_SELL,2821.0,2820.0,2822.39990234375,0.0,0.02479985813823737,726,714,1.39990234375,2849.0364684915094,BEARISH,18.876288603233647,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 2822.39990234375, 'mother_bar_low': 2820.0, 'inside_bar_high': 2821.89990234375, 'inside_bar_low': 2821.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
